Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"70907-1","The LEGO Batman Movie","",2017,"Killer Croc Tail-Gator",4,460,64.99,69.99,89.99,69.99,,673419267861,48.006,28.194,7.3914,0.8981122,"",0,0,0,,0,0,,,,,,,,,95.1900,64.6700,"01/01/2017","31/12/2017"
"71020-8","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Vacation Robin",1,7,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,5.1000,3.6700,"01/01/2018","31/03/2018"
"8099-1","Star Wars","Episode IV",2010,"Midi-scale Imperial Star Destroyer",,423,34.99,39.99,49.99,,5702014601369,673419129145,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,108.7300,74.7500,"01/08/2010","31/12/2010"
"40158-1","Pirates","",2015,"Pirates Chess Set",20,857,45.99,59.99,74.99,69.99,,673419236386,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,116.1000,75.6100,"01/03/2015","31/12/2016"
"6350-1","Town","Shops and Services",1994,"Pizza To Go",3,152,,15,,,5702010963508,,,,,,"",0,0,0,,0,0,,,,,,,,,225.0000,45.0800,"",""
"6671-1","Town","Maintenance",1989,"Utility Repair Lift",1,92,,7.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,125.0000,16.4700,"",""
"6018-1","Castle","Black Knights",1990,"Battle Dragon",2,49,,4.5,,,5702010960187,,,,,,"",0,0,0,,0,0,,,,,,,,,130.7500,18.6600,"",""
"71033-7","Collectable Minifigures"," The Muppets Series",2022,"Fozzie Bear",1,8,3.49,4.99,4.99,3.99,5702017154763,,,,,,"",0,0,0,,0,0,,,,,,,,,5.1400,4.2000,"",""
"30293-1","Ninjago","Tournament of Elements",2015,"Kai Drifter",1,43,,,,,5702015356107,,17,17,0.8,,"",0,0,0,,0,0,,,,,,,,,4.8700,2.6100,"01/01/2015","31/12/2015"
"71020-20","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Black Vulcan",1,6,2.99,3.99,3.99,3.99,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,6.3400,4.1900,"01/01/2018","31/03/2018"
"6074-1","Castle","Black Falcons",1986,"Black Falcon's Fortress",6,435,25,35,,,5702010960743,042884060749,,,,,"",0,0,0,,0,0,,,,,,,,,1350.0000,181.3400,"",""
"30575-1","Creator","Miscellaneous",2020,"Train",,59,2.99,4.99,4.99,3.99,5702016668209,673419322249,17,17,1.1,0.043,"",0,0,0,,0,0,,,,,,,,,6.3600,3.2000,"01/01/2020","31/12/2020"
"6801-1","Space","Classic",1981,"Moon Buggy",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,207.1000,8.7200,"",""
"71034-10","Collectable Minifigures","Series 23",2022,"Ferry Captain",1,8,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71028-8","Collectable Minifigures","Harry Potter Series 2",2020,"James Potter",1,7,,4.99,,,5702016619430,673419319386,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,6.1300,4.9300,"",""
"7009-1","Castle","Fantasy Era",2007,"The Final Joust",2,62,5.99,7.99,,,5702014509115,673419094313,19.2,14.4,4.8,0.11,"",0,0,0,,0,0,,,,,,,,,67.1000,47.1700,"01/06/2007","31/12/2008"
"8962-1","Power Miners","",2009,"Crystal King",2,168,14.99,19.99,,,,673419112826,19.1,26.2,6.1,0.3,"",0,0,0,,0,0,,,,,,,,,96.0100,28.4300,"01/06/2009","31/12/2010"
"40433-1","DC Comics Super Heroes","Batman 1989",2019,"1989 Batmobile - Limited Edition",,366,,,,,5702016618747,673419317849,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,126.5800,94.2400,"29/11/2019","31/12/2019"
"71017-21","Collectable Minifigures","The LEGO Batman Movie Series",2017,"LEGO Minifigures - The LEGO Batman Movie Series - Complete",20,125,,,,,,,11.9888,8.9916,0.2032,0.00907184,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2017","30/04/2017"
"30361-1","City","Fire",2019,"Fire ATV",1,39,,,,,5702016374773,,17,17,1,0.036,"",0,0,0,,0,0,,,,,,,,,3.2500,2.3400,"01/01/2019","31/12/2019"
"71037-8","Collectable Minifigures","Series 24",2023,"Conservationist",1,7,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71216-1","Dimensions","Fun Pack",2015,"Nya Fun Pack",1,59,14.99,14.99,14.99,14.99,,,17.2,19,4.9,,"",0,0,0,,0,0,,,,,,,,,13.1800,7.8600,"27/09/2015","31/07/2017"
"71034-1","Collectable Minifigures","Series 23",2022,"Nutcracker",1,8,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.7500,,"",""
"31131-1","Creator","3 in 1",2022,"Downtown Noodle Shop",2,569,39.99,44.99,59.99,44.99,5702017153223,673419355728,38,26,5.5,0.893,"",0,0,0,,0,0,,,,,,,,,33.7300,14.0000,"01/06/2022","31/12/2023"
"7036-1","Castle","Fantasy Era",2007,"Dwarves' Mine",7,575,41.09,59.99,,,5702014510890,673419095358,48,38.4,9.6,1.18,"",0,0,0,,0,0,,,,,,,,,245.8100,122.5800,"01/01/2008","31/12/2009"
"30167-1","Marvel Super Heroes","The Avengers",2013,"Iron Man vs. Fighting Drone",1,24,,4.99,,,5702014994331,673419193986,17,17,0.4,,"",0,0,0,,0,0,,,,,,,,,18.9300,9.0000,"01/01/2013","31/12/2013"
"6445-1","Town","Res-Q",1998,"Emergency Evac",1,101,,8,,,5702010964451,042884064457,19.2,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,28.0300,12.1100,"01/04/1998","31/12/1999"
"7052-1","Space","Alien Conquest",2011,"UFO Abduction",3,211,25.99,29.99,39.99,,5702014736832,673419145787,38.2,26.19,5.64,0.51,"",0,0,0,,0,0,,,,,,,,,112.0600,36.3900,"01/06/2011","31/07/2012"
"71367-1","Super Mario","Expansion Set",2020,"Mario's House & Yoshi",2,205,24.99,29.99,39.99,29.99,5702016618464,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,19.2600,12.5000,"01/08/2020","31/07/2022"
"75353-1","Star Wars","Diorama Collection",2023,"Endor Speeder Chase Diorama",3,608,69.99,79.99,99.99,79.99,5702017421377,673419376969,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,58.1600,52.3400,"01/05/2023","31/12/2025"
"ISBN9780241195819-1","Books","Dorling Kindersley",2015,"LEGO Star Wars: Character Encyclopedia, Updated and Expanded",1,5,14.99,18.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"60136-1","City","Police",2017,"Police Starter Set",4,80,8.99,9.99,12.99,9.99,5702015865227,673419263795,15.6972,14.097,4.4958,0.1224698,"",0,0,0,,0,0,,,,,,,,,14.1000,5.0900,"",""
"6357-1","Town","Vehicles",1988,"Stunt 'Copter N' Truck",2,177,,17,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,163.5600,20.5900,"",""
"6670-1","Town","Vehicles",1993,"Rescue Rig",1,114,,9.25,,,5702010966707,,,,,,"",0,0,0,,0,0,,,,,,,,,72.0000,11.5200,"",""
"8571-1","Bionicle","Toa Nuva",2002,"Kopaka Nuva",,42,4.99,8,,,5702014232624,673419015462,8.8,18.4,8.8,,"",0,0,0,,0,0,,,,,,,,,125.0000,15.0600,"01/09/2002","31/12/2003"
"4494-1","Star Wars","Mini Building Set",2004,"Imperial Shuttle",,82,6.99,7,,,5702014365575,673419034067,14.4,14.4,4.4,,"",0,0,0,,0,0,,,,,,,,,32.4500,7.8200,"01/01/2004","31/12/2004"
"40120-1","Seasonal","Valentine's Day",2015,"Valentine's Day Dinner",2,114,8.49,9.99,11.99,9.99,5702015355445,,14,12.2,6,,"",0,0,0,,0,0,,,,,,,,,17.1500,11.5400,"01/01/2015","31/12/2016"
"8275-1","Technic","",2007,"Motorized Bulldozer",,1384,97.85,149.99,,,5702014500068,673419091688,65.2,48,9.6,2.89,"",0,0,0,,0,0,,,,,,,,,440.6800,167.8500,"01/09/2007","31/12/2009"
"70123-1","Legends of Chima","Legend Beasts",2014,"Lion Legend Beast",1,121,7.99,9.99,12.99,,5702015124881,673419211048,12.192,14.097,4.5974,0.11,"",0,0,0,,0,0,,,,,,,,,19.4700,5.8700,"01/01/2014","31/12/2014"
"5762-1","Creator","3 in 1",2011,"Mini Plane",,52,4.99,5.99,6.99,,5702014734371,673419144605,10.21,14.35,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,5.9900,2.8800,"",""
"71020-10","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Vacation Alfred",1,7,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,4.4200,3.0600,"01/01/2018","31/03/2018"
"71229-1","Dimensions","Team Pack",2016,"DC Comics Team Pack",2,92,29.99,24.99,24.99,24.99,,,21.5,21,4.9,,"",0,0,0,,0,0,,,,,,,,,22.7000,17.4300,"19/01/2016","31/12/2017"
"21037-1","Architecture","Miscellaneous",2017,"LEGO House",,774,44.99,,,49.99,5702015867481,,26.2,19.1,9.1,,"",0,0,0,,0,0,,,,,,,,,87.5700,65.7400,"01/08/2017","31/12/2026"
"6247-1","Pirates","Imperial Guards",1992,"Bounty Boat",3,36,,4.75,,,,042884062477,,,,,"",0,0,0,,0,0,,,,,,,,,80.0000,21.4000,"",""
"71019-14","Collectable Minifigures","The LEGO Ninjago Movie Series",2017,"Shark Army Great White",1,6,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,3.9300,2.6100,"01/08/2017","31/12/2017"
"30152-1","City","Mining",2012,"Mining Quad",1,40,,4.99,,,5702014857711,673419184465,,,,,"",0,0,0,,0,0,,,,,,,,,5.4300,3.3900,"",""
"4483-1","Star Wars","Episode V",2003,"AT-AT",4,1064,89.99,100,,,,673419017381,57.6,38.4,9.6,,"",0,0,0,,0,0,,,,,,,,,368.4300,200.2000,"01/06/2003","31/12/2004"
"4705-1","Harry Potter","Philosopher's Stone",2001,"Snape's Class",3,163,16.99,20,,,5702012016639,042884047054,28.8,19.2,4.8,,"",0,0,0,,0,0,,,,,,,,,129.8100,28.0200,"01/09/2001","31/12/2002"
"71034-5","Collectable Minifigures","Series 23",2022,"Christmas Elf",1,10,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6537-1","Town","Boats",1994,"Hydro Racer",1,50,,4.5,,,5702010965373,,,,,,"",0,0,0,,0,0,,,,,,,,,27.0000,4.8800,"",""
"71034-11","Collectable Minifigures","Series 23",2022,"Knight of the Yellow Castle",1,12,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71037-10","Collectable Minifigures","Series 24",2023,"Rococo Aristocrat",1,6,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71028-11","Collectable Minifigures","Harry Potter Series 2",2020,"George Weasley",1,6,,4.99,,,5702016619430,673419319386,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,5.8700,5.2700,"",""
"71019-15","Collectable Minifigures","The LEGO Ninjago Movie Series",2017,"Flashback Garmadon",1,8,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,3.4600,2.7200,"01/08/2017","31/12/2017"
"75970-1","Overwatch","",2019,"Tracer vs. Widowmaker",2,129,12.99,14.99,19.99,14.99,5702016368475,673419302708,15.7,14.1,6.1,0.19,"",0,0,0,,0,0,,,,,,,,,18.8300,15.1700,"01/01/2019","31/12/2019"
"71019-1","Collectable Minifigures","The LEGO Ninjago Movie Series",2017,"Kai Kendo",1,7,,3.99,,,5702015866828,673419265621,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,4.5500,2.8000,"01/08/2017","31/12/2017"
"71026-7","Collectable Minifigures","DC Super Heroes Series",2020,"Superman",1,9,,4.99,,,5702016619416,673419319362,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,7.8800,5.4500,"",""
"71020-9","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Vacation Batgirl",1,7,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,4.6600,3.1200,"01/01/2018","31/03/2018"
"6007-1","Castle","Fright Knights",1997,"Bat Lord",1,12,,4.5,,,,042884060077,,,,,"",0,0,0,,0,0,,,,,,,,,74.0000,27.8800,"",""
"7947-1","Castle","Kingdoms",2010,"Prison Tower Rescue",5,365,45.99,49.99,69.99,,5702014602991,673419131049,35.41,37.8,9.4,1.03,"",0,0,0,,0,0,,,,,,,,,288.2600,112.3400,"01/06/2010","31/12/2011"
"60163-1","City","Coast Guard",2017,"Coast Guard Starter Set",3,76,8.99,9.99,12.99,9.99,,673419265003,15.6972,14.097,6.096,0.0907184,"",0,0,0,,0,0,,,,,,,,,12.6900,6.7600,"01/06/2017","31/12/2018"
"60080-1","City","Space",2015,"Spaceport",5,586,69.99,119.99,149.99,89.99,5702015349833,673419230537,48.006,37.7952,7.0612,1.53452,"",0,0,0,,0,0,,,,,,,,,137.0200,62.0400,"01/06/2015","31/12/2016"
"6380-1","Town","Medical",1987,"Emergency Treatment Centre",5,308,,29.75,,,,042884063801,,,,,"",0,0,0,,0,0,,,,,,,,,437.8400,75.4800,"",""
"76054-1","DC Comics Super Heroes","Batman",2016,"Batman: Scarecrow Harvest of Fear",5,563,64.99,59.99,74.99,69.99,,673419250450,48.006,28.194,6.096,0.9389355,"",0,0,0,,0,0,,,,,,,,,69.7500,40.1700,"01/06/2016","31/12/2017"
"71026-6","Collectable Minifigures","DC Super Heroes Series",2020,"Cheetah",1,9,,4.99,,,5702016619416,673419319362,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,4.0500,3.1600,"",""
"30160-1","DC Comics Super Heroes","Batman",2012,"Batman Jetski",1,40,,4.99,,,5702014858374,673419181440,18,16,1,0.03,"",0,0,0,,0,0,,,,,,,,,7.5200,3.6200,"",""
"76393-1","Harry Potter","Characters",2021,"Harry Potter & Hermione Granger",,1673,114.99,119.99,159.99,129.99,5702016971637,673419344876,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,92.6500,51.6900,"01/06/2021","31/12/2022"
"71027-8","Collectable Minifigures","Series 20",2020,"Viking",1,9,,4.99,,,5702016619423,673419319379,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,27.2500,25.4300,"",""
"71020-2","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Friends are Family Alfred",1,7,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,4.4800,3.6100,"01/01/2018","31/03/2018"
"30583-1","Creator","Seasonal",2022,"Easter Bunny",,75,,,,,5702017154800,,17,19.5,1.5,0.043,"",0,0,0,,0,0,,,,,,,,,4.0200,6.2300,"13/02/2022","31/12/2022"
"71037-12","Collectable Minifigures","Series 24",2023,"Newspaper Kid",1,8,3.49,4.99,5.99,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"30464-1","Hidden Side","Promotional",2020,"El Fuego's Stunt Cannon",1,46,3.49,4.99,,3.99,5702016668247,,17,17,0.9,,"",0,0,0,,0,0,,,,,,,,,3.9300,2.9600,"01/01/2020","31/12/2020"
"60063-1","City","Seasonal",2014,"City Advent Calendar",7,218,19.99,29.99,39.99,,5702015119344,673419207812,38.2016,26.1874,7.0612,0.39,"",0,0,0,,0,0,,,,,,,,,45.8000,18.1500,"01/09/2014","31/12/2014"
"7597-1","Toy Story","Toy Story 3",2010,"Western Train Chase",3,584,81.99,79.99,109.99,,5702014602922,673419130998,54,28.19,9.09,1.23,"",0,0,0,,0,0,,,,,,,,,141.8200,104.5600,"01/06/2010","31/12/2011"
"7700-1","Exo-Force","",2006,"Stealth Hunter",1,164,9.99,14.99,,,5702014467743,,19.2,28.8,4.8,,"",0,0,0,,0,0,,,,,,,,,73.4800,28.6100,"01/01/2006","31/12/2006"
"75009-1","Star Wars","Planet Set",2013,"Snowspeeder & Planet Hoth",1,69,11.99,9.99,,,5702014974678,673419191326,14.1,19.1,8.8,0.13,"",0,0,0,,0,0,,,,,,,,,73.3100,39.8800,"01/01/2013","31/12/2013"
"30230-1","Space","Galaxy Squad",2013,"Mini Mech",1,28,,3.99,,,5702014967359,673419187817,,,,,"",0,0,0,,0,0,,,,,,,,,5.0200,4.8800,"",""
"7632-1","City","Construction",2009,"Crawler Crane",2,481,44.99,59.99,69.99,,5702014534438,673419112413,48.01,37.8,9.4,1.13,"",0,0,0,,0,0,,,,,,,,,139.6900,68.4700,"01/01/2009","31/12/2010"
"7213-1","City","Fire",2010,"Off-Road Fire Truck & Fireboat",3,388,31.99,39.99,54.99,,5702014602557,673419130196,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,88.1200,24.8200,"01/01/2010","31/12/2012"
"7238-1","City","Fire",2005,"Fire Helicopter",1,75,7.99,9.99,,,5702014498990,673419058032,24,14.4,4.8,0.15,"",0,0,0,,0,0,,,,,,,,,13.8300,6.7200,"01/01/2005","30/06/2007"
"3862-1","Games","Licensed",2010,"Harry Potter Hogwarts",9,332,24.99,34.99,39.99,,5702014601543,673419129282,28.8,27.2,6.71,0.78,"",0,0,0,,0,0,,,,,,,,,57.7100,17.4300,"01/08/2010","31/07/2013"
"70404-1","Castle","",2013,"King's Castle",7,996,79.99,99.99,129.99,,5702014973091,673419190695,58.1914,37.7952,8.7122,2.11,"",0,0,0,,0,0,,,,,,,,,347.7600,166.6600,"01/08/2013","31/12/2014"
"71037-7","Collectable Minifigures","Series 24",2023,"Orc",1,10,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"60285-1","City","Great Vehicles",2021,"Sports Car",1,89,8.99,9.99,13.99,9.99,5702016889703,,15.7,14.1,6.1,0.164,"",0,0,0,,0,0,,,,,,,,,10.9700,7.2900,"01/01/2021","31/12/2021"
"5004929-1","The LEGO Batman Movie","Promotional",2017,"Batman Cave Pod",1,24,3.99,,,4.99,,673419269292,,,,,"",0,0,0,,0,0,,,,,,,,,9.1900,7.6600,"",""
"42020-1","Technic","",2014,"Twin-rotor Helicopter",,145,7.99,12.99,14.99,9.99,5702015122481,673419210355,15.6972,14.097,6.096,0.2,"",0,0,0,,0,0,,,,,,,,,10.7500,8.0100,"01/01/2014","31/12/2015"
"71026-8","Collectable Minifigures","DC Super Heroes Series",2020,"Green Lantern",1,9,,4.99,,,5702016619416,673419319362,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,5.4200,3.9400,"",""
"71037-6","Collectable Minifigures","Series 24",2023,"T-Rex Costume Fan",1,6,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4645-1","City","Harbor",2011,"Harbor",4,551,71.99,89.99,119.99,,5702014727311,673419143011,58.19,37.8,8.71,1.65,"",0,0,0,,0,0,,,,,,,,,75.0000,82.9000,"01/06/2011","31/12/2012"
"40411-1","Promotional","Gift with Purchase",2020,"Creative Fun 12-in-1",,240,,,,,5702016720082,,26,13.8,4.5,0.334,"",0,0,0,,0,0,,,,,,,,,7.5200,4.7500,"01/06/2020","31/12/2020"
"60099-1","City","Seasonal",2015,"City Advent Calendar",6,278,19.99,29.99,39.99,19.99,5702015350921,,38.2016,26.1874,7.0612,0.39,"",0,0,0,,0,0,,,,,,,,,44.6000,13.0000,"01/09/2015","31/12/2015"
"21305-1","Ideas","",2016,"Maze",,769,59.99,69.99,89.99,69.99,5702015647090,673419254649,38.2,26.2,9.4,,"",0,0,0,,0,0,,,,,,,,,154.0700,104.8800,"01/04/2016","31/12/2016"
"31111-1","Creator","3 in 1",2021,"Cyber Drone",1,113,8.99,9.99,13.99,9.99,5702016889208,673419336482,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,9.0100,7.5800,"01/01/2021","31/12/2023"
"40602-1","Creator","Seasonal",2023,"Winter Market Stall",2,271,,,,,5702017471426,,26,14,6,0.308,"",0,0,0,,0,0,,,,,,,,,15.6700,12.5600,"",""
"75220-1","Star Wars","Episode IV",2018,"Sandcrawler",6,1239,109.99,139.99,159.99,129.99,5702016111187,673419282758,48,37.8,9.4,1.77,"",0,0,0,,0,0,,,,,,,,,169.4100,135.9800,"01/08/2018","31/12/2019"
"10294-1","Icons","Miscellaneous",2021,"Titanic",,9090,589.99,679.99,849.99,679.99,5702016914320,673419340335,58.5,47.5,38.5,,"",0,0,0,,0,0,,,,,,,,,657.0400,483.2800,"08/11/2021","31/12/2024"
"4729-1","Harry Potter","Chamber of Secrets",2002,"Dumbledore's Office",3,446,44.99,50,,,5702014169142,673419015103,28.8,38.4,7.2,,"",0,0,0,,0,0,,,,,,,,,87.6800,66.3500,"20/09/2002","31/12/2004"
"6517-1","Town","Leisure",1996,"Water Jet",1,29,,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.9100,3.2800,"",""
"10190-1","Advanced models","Modular Buildings Collection",2007,"Market Street",3,1248,59.99,89.99,,,5702014515437,,,,,,"",0,0,0,,0,0,,,,,,,,,550.0000,549.0300,"",""
"75096-1","Star Wars","Episode I",2015,"Sith Infiltrator",8,662,84.99,89.99,119.99,99.99,5702015352390,673419231350,54.0004,28.194,7.8486,1.28,"",0,0,0,,0,0,,,,,,,,,154.4400,164.9600,"01/08/2015","31/12/2016"
"21329-1","Ideas","Licensed",2021,"Fender Stratocaster",,1074,104.99,119.99,149.99,119.99,5702017071978,673419350334,26.2,38.2,11.8,,"",0,0,0,,0,0,,,,,,,,,100.0100,91.0800,"01/10/2021","31/12/2024"
"60121-1","City","Volcano Explorers",2016,"Volcano Exploration Truck",2,175,14.99,24.99,29.99,19.99,5702015594820,673419249928,26.2128,19.1008,6.096,0.3538018,"",0,0,0,,0,0,,,,,,,,,28.7200,9.8800,"01/06/2016","31/12/2017"
"41022-1","Friends","Animals Series 2",2013,"Bunny's Hutch",,37,2.99,4.99,5.99,,5702014974951,673419191616,13,18,1.5,0.04,"",0,0,0,,0,0,,,,,,,,,6.5400,3.5900,"01/05/2013","31/08/2013"
"17101-1","Boost","",2017,"Boost Creative Toolbox",,843,149.99,159.99,199.99,169.99,5702015930000,673419272292,54.0004,28.194,9.0932,1.383456,"",0,0,0,,0,0,,,,,,,,,190.2700,103.1200,"01/08/2017","31/12/2022"
"71026-10","Collectable Minifigures","DC Super Heroes Series",2020,"Batman",1,10,,4.99,,,5702016619416,673419319362,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,12.7600,8.3200,"",""
"31065-1","Creator","3 in 1",2017,"Park Street Townhouse",2,566,44.99,49.99,64.99,49.99,,673419266543,48.006,28.194,6.096,1.075013,"",0,0,0,,0,0,,,,,,,,,79.4900,43.9200,"01/01/2017","31/12/2017"
"71037-4","Collectable Minifigures","Series 24",2023,"Carrot Mascot",1,8,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"60193-1","City","Arctic",2018,"Arctic Air Transport",2,277,24.99,39.99,49.99,29.99,5702016109467,673419280808,28,26,7.3,0.592,"",0,0,0,,0,0,,,,,,,,,56.0600,33.1100,"01/06/2018","31/12/2019"
"70615-1","The LEGO Ninjago Movie","",2017,"Fire Mech",6,944,59.99,69.99,89.99,69.99,,673419248419,35.4076,37.7952,9.398,1.25645,"",0,0,0,,0,0,,,,,,,,,118.0400,57.1700,"01/08/2017","31/12/2018"
"75217-1","Star Wars","Solo",2018,"Imperial Conveyex Transport",5,622,79.99,89.99,109.99,89.99,5702016110654,673419282321,48,28.2,6.1,1.01,"",0,0,0,,0,0,,,,,,,,,144.6200,120.5900,"01/08/2018","31/07/2019"
"71034-3","Collectable Minifigures","Series 23",2022,"Snowman",1,9,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,139.1600,,"",""
"71171-1","Dimensions","Starter Pack",2015,"Starter Pack: PS4",,273,99.99,99.99,109.99,99.99,,,38.6,28.1,8,,"",0,0,0,,0,0,,,,,,,,,96.6000,68.6700,"27/09/2015","31/12/2017"
"60132-1","City","Town",2016,"Service Station",4,515,64.99,89.99,109.99,69.99,5702015594936,673419250030,54.0004,28.194,7.8486,1.365312,"",0,0,0,,0,0,,,,,,,,,103.7500,75.8600,"01/06/2016","31/12/2017"
"40058-1","Seasonal","Christmas",2013,"Decorating the Tree",2,110,6.99,7.99,9.99,,,673419183826,20,17,1.5,,"",0,0,0,,0,0,,,,,,,,,13.9200,10.0000,"01/01/2013","31/12/2014"
"40261-1","Seasonal","Thanksgiving",2017,"Thanksgiving Harvest",2,133,8.49,9.99,11.99,9.99,5702015868464,,15.7,14,6,,"",0,0,0,,0,0,,,,,,,,,16.1800,14.7300,"01/10/2017","31/12/2017"
"8567-1","Bionicle","Toa Nuva",2002,"Lewa Nuva",,37,4.99,8,,,,673419013840,8.8,18.4,8.8,,"",0,0,0,,0,0,,,,,,,,,70.0000,11.7400,"01/09/2002","31/12/2003"
"40463-1","Seasonal","Easter",2021,"Easter Bunny",,293,13.49,14.99,19.99,14.99,5702016910834,673419337991,19.1,14.1,7.1,0.286,"",0,0,0,,0,0,,,,,,,,,18.3500,10.0000,"01/02/2021","31/12/2022"
"7977-1","Atlantis","",2011,"Seabed Strider",2,105,8.49,9.99,12.99,,5702014733336,673419143974,19.1,14.1,4.6,0.12,"",0,0,0,,0,0,,,,,,,,,23.9900,10.1900,"",""
"70811-1","The LEGO Movie","2 in 1",2014,"The Flying Flusher",3,351,24.99,29.99,39.99,,5702015122320,,35.4,19.1,5.9,0.54,"",0,0,0,,0,0,,,,,,,,,39.2500,24.3100,"01/01/2014","31/12/2014"
"31093-1","Creator","3 in 1",2019,"Riverside Houseboat",2,396,24.99,39.99,49.99,29.99,5702016367874,673419302135,35.4,19.1,7,0.67,"",0,0,0,,0,0,,,,,,,,,25.4000,20.3300,"01/01/2019","31/12/2021"
"30460-1","The LEGO Movie 2","Promotional",2019,"Rex's Plantimal Ambush",1,32,3.49,3.99,4.99,3.89,5702016373127,,17,17,0.6,,"",0,0,0,,0,0,,,,,,,,,4.1600,5.0000,"01/01/2019","31/12/2019"
"75119-1","Star Wars","Buildable Figures",2016,"Sergeant Jyn Erso",,104,19.99,24.99,29.99,24.99,5702015593359,673419248099,14.097,26.2128,6.096,0.2494756,"",0,0,0,,0,0,,,,,,,,,10.7700,5.6800,"30/09/2016","31/12/2017"
"7708-1","Exo-Force","",2006,"Uplink",1,69,3.99,5,,,,673419079068,14.4,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,42.7800,12.1900,"01/01/2006","31/12/2006"
"71033-12","Collectable Minifigures","The Muppets Series",2022,"Janice",1,4,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.5500,3.9700,"",""
"71027-7","Collectable Minifigures","Series 20",2020,"Llama Costume Girl",1,7,3.49,4.99,4.99,3.99,5702016619423,673419319379,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,7.3300,5.7900,"",""
"7751-1","Star Wars","The Clone Wars",2009,"Ahsoka's Starfighter and Vulture Droid",4,291,31.29,39.99,,,,673419111713,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,224.8900,140.7100,"01/01/2009","31/12/2009"
